artwork,name,emotion,style,genre
95,giorgione_the-adoration-of-the-shepherds-1510.jpg,2,13,12
96,giorgione_young-man-the-impassioned-singer.jpg,5,13,9
99,giorgione_madonna-and-child-in-a-landscape-1504.jpg,2,13,12
102,giorgione_portrait-of-a-young-woman-laura-1506.jpg,1,13,9
119,giorgione_the-adoration-of-the-kings.jpg,4,13,12
124,giorgione_globe-moon-sun-astronomy-1510.jpg,1,13,15
136,jacopo-bellini_christ-s-descent-into-limbo.jpg,4,9,12
137,jacopo-bellini_virgin-and-child.jpg,8,9,12
138,jacopo-bellini_the-madonna-of-humility-adored-by-leonello-d-este.jpg,2,9,12
140,jacopo-bellini_virgin-with-child.jpg,2,9,12
141,jacopo-bellini_the-crucifixion.jpg,4,9,12
142,jacopo-bellini_madonna-and-child-1450.jpg,4,9,12
143,jacopo-bellini_sketch-of-figures-and-scenes-from-the-antique-age.jpg,3,9,14
145,jacopo-bellini_st-michael-defeating-satan.jpg,7,9,14
146,jacopo-bellini_sketch-of-young-deer.jpg,4,9,14
148,jacopo-bellini_the-three-dead-and-three-loud.jpg,2,9,14
149,jacopo-bellini_saint-jerome-1430.jpg,2,9,12
150,jacopo-bellini_christ-in-the-grave.jpg,4,9,12
151,jacopo-bellini_john-the-evangelist-the-apostle-peter-1430.jpg,8,9,12
152,jacopo-bellini_crucifix.jpg,4,9,12
153,jacopo-bellini_presentation-of-the-virgin-at-the-temple.jpg,4,9,14
154,jacopo-bellini_profile-portrait-of-a-boy.jpg,4,9,9
155,jacopo-bellini_triptych-of-st-sebastian-1464.jpg,6,9,12
160,jacopo-bellini_profile-of-a-man.jpg,2,9,14
161,jacopo-bellini_ross-and-rider.jpg,3,9,14
162,jacopo-bellini_saint-anthony-abbot-and-saint-bernardino-da-siena-1460.jpg,2,9,12
163,jacopo-bellini_annunciation-1444.jpg,2,9,12
164,jacopo-bellini_madonna-and-child-1448.jpg,2,9,12
165,jacopo-bellini_triptych-of-the-virgin-1470.jpg,1,9,12
166,jacopo-bellini_triptych-of-the-nativity-1470.jpg,8,9,12
167,jacopo-bellini_triptych-of-st-lawrence-1470.jpg,1,9,12
168,jacopo-bellini_flagellation.jpg,2,9,14
169,jacopo-bellini_nativity.jpg,2,9,14
170,jacopo-bellini_dormition-of-the-virgin.jpg,1,9,14
