artwork,style,genre,emotion
81418,1,4,4
28493,3,9,5
28421,3,3,8
28393,3,9,8
28380,3,9,7
28353,3,9,2
28340,1,9,2
28305,1,9,5
28303,11,9,4
28256,1,0,3
28229,3,17,2
28207,24,4,8
28196,1,4,2
28118,24,8,2
64285,10,6,8
64312,10,6,0
64309,10,6,8
64310,10,6,3
64286,10,6,8
64292,10,6,2
64304,10,6,0
64305,10,6,8
64294,10,6,8
83476,23,6,8
83473,10,6,0
83477,23,6,8
83469,10,6,8
83466,23,6,8
83458,10,6,8
83457,23,6,8
83454,23,6,0
83451,23,6,8
67438,2,12,4
57140,3,12,6
55772,3,9,2
55785,3,17,2
55769,3,0,6
55777,3,9,5
55682,25,3,8
57229,3,4,2
57227,3,4,8
57207,3,4,1
65241,17,6,6
41111,25,4,4
41096,25,4,2
41078,25,4,8
41052,25,1,1
36222,22,1,8
36159,22,8,1
36134,22,8,1
36120,22,8,8
58862,22,4,2
84005,17,6,2
83985,3,0,6
83983,17,15,8
83976,17,6,8
38520,24,4,2
38465,25,15,4
38458,24,9,4
38444,24,8,2
38417,24,0,5
38404,24,9,8
38401,24,9,5
38395,24,9,4
38390,24,9,2
38397,24,9,1
38388,24,9,8
38316,24,9,1
38287,24,17,7
38247,24,9,4
38219,24,9,8
57011,24,10,8
59274,22,14,7
59255,22,17,7
34202,14,4,5
34196,14,4,8
34184,14,4,8
34181,14,4,4
34171,14,4,4
34160,14,4,4
34154,2,9,7
34147,2,9,4
34124,14,16,8
34121,14,9,2
34118,14,16,8
34111,14,11,3
34110,14,4,5
34109,14,4,4
34101,14,4,7
34100,14,4,6
34099,14,4,8
84107,17,1,4
84106,17,6,7
84104,17,6,8
4613,11,16,4
4607,11,12,1
4606,11,5,7
4583,11,16,7
4559,11,16,1
4546,11,16,7
4529,11,16,4
4525,11,12,7
4515,11,5,7
67039,17,6,7
67037,17,6,7
67032,17,6,8
32122,25,9,2
32106,25,9,2
79363,20,6,2
77262,2,15,2
33423,17,6,7
65010,17,6,8
33418,17,6,5
33398,17,0,0
33393,17,6,6
33392,17,0,7
33389,17,6,8
33384,17,9,7
33382,3,9,7
33381,17,6,1
33380,17,9,8
33378,17,9,1
33377,17,6,4
33374,17,6,3
33368,17,6,7
33367,17,6,6
33363,17,6,2
33357,17,6,8
77225,25,4,6
77203,25,9,2
63796,1,4,1
63801,1,4,2
63855,1,4,3
63832,1,13,7
63815,1,5,0
63786,1,4,8
63862,22,12,4
63776,1,9,2
2036,3,2,5
80438,15,6,3
80430,23,6,2
80429,23,6,2
80424,15,6,1
80423,23,6,3
80421,10,6,2
80419,10,6,0
76919,3,4,4
76378,17,6,8
46662,7,9,3
46656,21,15,7
47255,25,4,1
47253,25,4,4
47221,25,4,2
47218,25,9,8
47202,25,4,2
81378,21,4,2
5670,14,9,7
5653,14,9,8
5649,14,9,1
5647,14,9,1
5625,14,9,2
5587,14,9,2
42303,13,12,3
42302,13,14,0
42301,13,12,7
42285,13,12,8
42283,13,12,1
42282,13,12,1
42281,13,12,1
42269,13,9,2
75897,3,2,4
75877,3,2,3
14895,21,14,2
14892,25,9,2
14840,21,14,7
14837,25,4,4
14816,21,8,2
14802,21,8,8
14799,21,14,8
14785,21,8,5
14757,21,14,8
14722,21,14,7
14645,21,14,4
14616,25,14,6
14615,25,14,4
14603,25,4,2
14594,21,15,8
14572,21,14,8
14425,21,14,0
14407,25,14,8
14380,21,15,8
14351,25,15,8
14326,21,14,7
14291,25,4,4
14288,25,14,4
14274,25,14,8
14269,25,14,5
14267,21,14,4
14228,25,14,2
14221,21,14,8
14218,21,14,4
14216,21,14,4
14193,21,3,7
14165,21,3,2
14163,21,3,2
14162,21,3,8
14182,21,3,0
14181,21,3,1
14173,21,3,8
14148,25,14,7
14127,21,14,8
14111,21,8,1
14104,21,8,4
14090,21,14,2
14064,21,9,5
14057,21,9,5
14049,21,9,3
14034,21,8,2
14028,25,14,7
13917,25,14,8
13962,25,14,8
13947,25,14,4
13863,25,4,2
13834,25,14,2
13818,25,14,4
13817,25,9,2
13833,25,14,4
13803,25,9,7
13785,21,14,8
13766,21,8,2
13757,25,9,8
13726,25,4,4
13671,21,9,8
13559,21,14,8
13549,25,9,4
13542,21,14,8
81030,3,4,4
81025,3,3,8
35534,22,9,7
35526,22,13,5
35491,22,9,5
35485,25,9,8
35481,25,9,4
35467,22,17,4
35445,25,14,7
35436,25,4,2
35424,22,11,2
35420,22,13,5
35395,25,4,4
69706,17,6,5
69704,17,6,7
69697,17,6,8
70311,22,4,1
64550,7,9,6
2544,21,4,4
2534,21,4,4
2529,24,4,8
2527,24,9,4
35596,25,9,2
35574,25,9,0
35550,25,4,2
35549,25,4,4
35546,25,9,7
35544,25,14,7
36945,22,9,2
36937,22,9,8
36901,22,9,8
36885,22,9,2
36878,22,9,8
36774,25,14,2
36765,25,17,4
36748,25,14,2
36738,25,14,4
36735,25,14,4
36737,25,14,6
36736,25,14,7
36728,25,14,7
36723,25,14,7
36719,25,14,7
36716,25,14,7
36717,25,14,7
36706,25,14,0
36702,25,3,7
36675,25,9,2
36669,25,9,7
36626,25,14,4
36596,25,14,7
