artwork,style,genre,emotion
0,13,12,1
1,13,9,4
2,13,12,2
3,13,9,1
4,13,12,5
5,13,15,1
6,9,12,1
7,9,12,2
8,9,12,2
9,9,12,2
10,9,12,5
11,9,12,5
12,9,14,4
13,9,14,0
14,9,14,2
15,9,14,2
16,9,12,4
17,9,12,5
18,9,12,6
19,9,12,5
20,9,14,1
21,9,9,2
22,9,12,7
23,9,14,2
24,9,14,3
25,9,12,1
26,9,12,2
27,9,12,2
28,9,12,1
29,9,12,2
30,9,12,1
31,9,14,1
32,9,14,2
33,9,14,1
34,9,14,1
35,9,14,5
36,14,4,2
37,14,4,4
38,14,4,6
39,14,4,4
40,14,4,6
41,14,9,4
42,14,4,4
43,14,4,4
44,14,4,2
45,14,4,2
46,14,4,2
47,14,9,4
48,14,4,2
49,14,4,1
50,14,4,0
51,14,4,2
52,14,4,2
53,14,4,1
54,14,4,1
55,14,4,1
56,14,4,1
57,14,4,0
58,14,4,3
59,14,9,2
60,14,4,0
61,14,4,5
62,14,4,0
63,14,4,2
64,14,4,5
65,14,4,1
66,14,4,0
67,14,14,2
68,14,4,2
69,14,4,4
70,14,4,2
71,14,4,2
72,14,4,4
73,14,4,1
74,14,4,3
75,14,4,2
76,14,4,1
77,14,4,8
78,14,4,4
79,14,4,2
80,14,4,0
81,14,4,2
82,14,4,4
83,14,4,4
84,14,12,2
85,14,4,4
86,14,4,4
87,14,4,4
88,14,4,2
89,14,4,4
90,14,4,0
91,14,9,1
92,14,4,2
93,14,4,2
94,14,4,0
95,14,4,4
96,3,12,2
97,3,9,2
98,3,4,2
99,3,4,0
100,3,4,0
101,3,4,0
102,24,4,2
103,25,4,2
104,3,4,1
105,3,4,4
106,3,4,4
107,3,9,4
108,3,4,2
109,3,14,2
110,3,4,5
111,3,4,0
112,3,4,2
113,3,9,0
114,3,4,1
115,3,9,2
116,3,4,4
117,3,9,2
118,3,4,2
119,3,13,7
120,3,9,4
121,3,4,2
122,3,4,5
123,3,4,2
124,3,4,0
125,3,4,0
126,3,4,2
127,3,8,2
128,11,5,0
129,3,4,4
130,3,4,2
131,3,4,3
132,3,14,1
